Run 1: Time (min) (±0.01 min),Run 1: pH (±0.3 pH),Run 1: Temperature (°C) (±0.1°C),Run 1: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 2: Time (min) (±0.01 min),Run 2: Temperature (°C) (±0.1°C),Run 2: pH (±0.3 pH),Run 2: Volume of NaOH Added (cm^3) (±0.02 cm^3),Run 3: Time (min) (±0.01 min),Run 3: Temperature (°C) (±0.1°C),Run 3: pH (±0.3 pH),Run 3: Volume of NaOH Added (cm^3) (±0.02 cm^3)
3.48,5.0,25.7,10.5,3.48,25.7,5.0,,3.48,25.7,5.0,
3.5,5.0,25.8,,3.5,25.7,5.0,,3.5,25.7,5.0,
3.52,5.1,25.7,,3.52,25.7,5.0,,3.52,25.7,5.0,
3.53,5.1,25.8,,3.53,25.7,5.0,,3.53,25.7,5.0,
3.55,5.1,25.8,,3.55,25.7,5.0,9.5,3.55,25.7,5.0,9.5
3.57,5.1,25.7,,3.57,25.7,5.0,,3.57,25.7,5.0,
3.58,5.1,25.8,,3.58,25.7,5.0,,3.58,25.7,5.0,
3.6,5.1,25.8,,3.6,25.7,5.0,,3.6,25.7,5.0,
3.62,5.1,25.8,,3.62,25.7,5.0,,3.62,25.7,5.0,
3.63,5.1,25.8,11.0,3.63,25.7,5.0,,3.63,25.7,5.0,
3.65,5.1,25.8,,3.65,25.7,5.0,,3.65,25.7,5.0,
3.67,5.1,25.8,,3.67,25.7,5.0,,3.67,25.7,5.0,
3.68,5.1,25.8,,3.68,25.7,5.0,,3.68,25.7,5.0,
3.7,5.1,25.8,,3.7,25.7,5.0,,3.7,25.7,5.0,
3.72,5.1,25.8,,3.72,25.7,5.0,,3.72,25.7,5.0,
3.73,5.1,25.8,,3.73,25.7,5.0,,3.73,25.7,5.0,
3.75,5.1,25.8,,3.75,25.7,5.0,,3.75,25.7,5.0,
3.77,5.1,25.8,,3.77,25.7,5.0,,3.77,25.7,5.0,
3.78,5.1,25.8,,3.78,25.7,5.0,10.0,3.78,25.7,5.0,10.0
3.8,5.1,25.8,11.5,3.8,25.7,5.0,,3.8,25.7,5.0,
3.82,5.1,25.8,,3.82,25.7,5.0,,3.82,25.7,5.0,
3.83,5.1,25.8,,3.83,25.7,5.0,,3.83,25.7,5.1,
3.85,5.1,25.8,,3.85,25.7,5.0,,3.85,25.7,5.1,
3.87,5.1,25.8,,3.87,25.7,5.0,,3.87,25.7,5.1,
3.88,5.2,25.8,,3.88,25.7,5.1,,3.88,25.7,5.1,
3.9,5.2,25.8,,3.9,25.7,5.1,,3.9,25.7,5.1,
3.92,5.2,25.8,,3.92,25.7,5.1,10.5,3.92,25.7,5.1,10.5
3.93,5.2,25.8,,3.93,25.7,5.1,,3.93,25.7,5.1,
3.95,5.2,25.8,,3.95,25.7,5.1,,3.95,25.7,5.1,
3.97,5.2,25.8,12.0,3.97,25.7,5.1,,3.97,25.7,5.1,
3.98,5.2,25.8,,3.98,25.7,5.1,,3.98,25.7,5.1,
4.0,5.2,25.8,,4.0,25.7,5.1,,4.0,25.7,5.1,
4.02,5.2,25.8,,4.02,25.7,5.1,,4.02,25.7,5.1,
4.03,5.2,25.8,,4.03,25.7,5.1,11.0,4.03,25.7,5.1,11.0
4.05,5.2,25.8,,4.05,25.7,5.1,,4.05,25.7,5.1,
4.07,5.2,25.8,,4.07,25.7,5.1,,4.07,25.7,5.1,
4.08,5.2,25.8,,4.08,25.7,5.2,,4.08,25.7,5.2,
4.1,5.2,25.8,,4.1,25.7,5.2,,4.1,25.7,5.2,
4.12,5.2,25.8,,4.12,25.7,5.2,,4.12,25.7,5.2,
4.13,5.2,25.8,,4.13,25.7,5.2,,4.13,25.7,5.2,
4.15,5.2,25.8,12.5,4.15,25.7,5.2,,4.15,25.7,5.2,
4.17,5.2,25.8,,4.17,25.7,5.2,,4.17,25.7,5.2,
4.18,5.2,25.8,,4.18,25.7,5.2,,4.18,25.7,5.2,
4.2,5.2,25.8,,4.2,25.7,5.2,,4.2,25.7,5.2,
4.22,5.2,25.8,,4.22,25.7,5.2,12.0,4.22,25.7,5.2,12.0
4.23,5.2,25.8,,4.23,25.7,5.2,,4.23,25.7,5.2,
4.25,5.2,25.8,,4.25,25.7,5.2,,4.25,25.7,5.2,
4.27,5.3,25.8,,4.27,25.7,5.2,,4.27,25.7,5.3,
4.28,5.3,25.8,,4.28,25.7,5.2,,4.28,25.7,5.3,
4.3,5.3,25.8,,4.3,25.7,5.3,,4.3,25.7,5.3,
4.32,5.3,25.8,13.0,4.32,25.7,5.3,,4.32,25.7,5.3,
4.33,5.3,25.8,,4.33,25.7,5.3,,4.33,25.7,5.3,
4.35,5.3,25.8,,4.35,25.7,5.3,12.5,4.35,25.7,5.3,12.5
4.37,5.3,25.8,,4.37,25.7,5.3,,4.37,25.7,5.3,
4.38,5.3,25.8,,4.38,25.7,5.3,,4.38,25.7,5.3,
4.4,5.3,25.8,,4.4,25.7,5.3,,4.4,25.7,5.3,
4.42,5.3,25.8,,4.42,25.7,5.3,,4.42,25.7,5.3,
4.43,5.3,25.8,,4.43,25.7,5.3,,4.43,25.7,5.3,
4.45,5.3,25.8,,4.45,25.7,5.3,,4.45,25.7,5.3,
4.47,5.3,25.8,,4.47,25.7,5.3,,4.47,25.7,5.3,
4.48,5.3,25.8,,4.48,25.7,5.3,,4.48,25.7,5.3,
4.5,5.3,25.8,,4.5,25.7,5.3,,4.5,25.7,5.3,
4.52,5.3,25.8,13.5,4.52,25.7,5.3,13.0,4.52,25.7,5.3,13.0
4.53,5.3,25.8,,4.53,25.7,5.3,,4.53,25.7,5.3,
4.55,5.3,25.8,,4.55,25.7,5.3,,4.55,25.7,5.3,
4.57,5.3,25.8,,4.57,25.7,5.3,,4.57,25.7,5.3,
4.58,5.3,25.8,,4.58,25.7,5.3,,4.58,25.7,5.3,
4.6,5.3,25.8,,4.6,25.7,5.3,,4.6,25.7,5.3,
4.62,5.4,25.8,,4.62,25.7,5.3,,4.62,25.7,5.3,
4.63,5.4,25.8,,4.63,25.7,5.3,,4.63,25.7,5.4,
4.65,5.4,25.8,,4.65,25.7,5.3,,4.65,25.7,5.4,
4.67,5.4,25.8,,4.67,25.7,5.4,13.5,4.67,25.7,5.4,13.5
4.68,5.4,25.8,14.0,4.68,25.7,5.4,,4.68,25.7,5.4,
4.7,5.4,25.8,,4.7,25.7,5.4,,4.7,25.7,5.4,
4.72,5.4,25.8,,4.72,25.7,5.4,,4.72,25.7,5.4,
4.73,5.4,25.8,,4.73,25.7,5.4,,4.73,25.7,5.4,
4.75,5.4,25.8,,4.75,25.7,5.4,,4.75,25.7,5.4,
4.77,5.4,25.8,,4.77,25.7,5.4,,4.77,25.7,5.4,
4.78,5.4,25.8,,4.78,25.7,5.4,,4.78,25.7,5.4,
4.8,5.4,25.8,,4.8,25.7,5.4,,4.8,25.7,5.4,
4.82,5.4,25.8,,4.82,25.7,5.4,,4.82,25.7,5.4,
4.83,5.4,25.8,,4.83,25.7,5.4,,4.83,25.7,5.4,
4.85,5.4,25.8,14.5,4.85,25.7,5.4,14.0,4.85,25.7,5.4,14.0
4.87,5.4,25.8,,4.87,25.7,5.4,,4.87,25.7,5.4,
4.88,5.4,25.8,,4.88,25.7,5.4,,4.88,25.7,5.4,
4.9,5.4,25.8,,4.9,25.7,5.4,,4.9,25.7,5.4,
4.92,5.4,25.8,,4.92,25.7,5.4,,4.92,25.7,5.4,
4.93,5.4,25.8,,4.93,25.7,5.4,,4.93,25.7,5.4,
4.95,5.4,25.8,,4.95,25.7,5.4,,4.95,25.7,5.4,
4.97,5.5,25.8,,4.97,25.7,5.4,,4.97,25.7,5.4,
4.98,5.5,25.8,,4.98,25.7,5.4,,4.98,25.7,5.4,
5.0,5.5,25.8,,5.0,25.7,5.4,,5.0,25.7,5.4,
5.02,5.5,25.8,15.0,5.02,25.7,5.4,,5.02,25.7,5.4,
5.03,5.5,25.8,,5.03,25.7,5.4,,5.03,25.7,5.5,
5.05,5.5,25.8,,5.05,25.7,5.5,,5.05,25.7,5.5,
5.07,5.5,25.8,,5.07,25.7,5.5,14.5,5.07,25.7,5.5,14.5
5.08,5.5,25.8,,5.08,25.7,5.5,,5.08,25.7,5.5,
5.1,5.5,25.8,,5.1,25.7,5.5,,5.1,25.7,5.5,
5.12,5.5,25.8,,5.12,25.7,5.5,,5.12,25.7,5.5,
5.13,5.5,25.8,,5.13,25.7,5.5,,5.13,25.7,5.5,
5.15,5.5,25.8,,5.15,25.7,5.5,,5.15,25.7,5.5,
5.17,5.5,25.8,,5.17,25.7,5.5,,5.17,25.7,5.5,
5.18,5.5,25.8,15.5,5.18,25.7,5.5,,5.18,25.7,5.5,
